text,labels
"Multimodality cisplatin treatment in nonresectable alpha-fetoprotein-positive hepatoma. Twenty-eight patients with alpha-fetoprotein-positive (AFP+) nonresectable hepatoma have been enrolled in a new multimodality Phase I, II program. Induction therapy consisted of 50 mg/m2 intravenous cisplatin followed by 2100 cGy irradiation to the tumor volume in seven fractions over 10 days. Hepatic arterial infusion of 50 mg/m2 cisplatin (IA-CDDP) was then administered at monthly intervals. Twenty-one patients have completed induction and at least two cycles of IA-CDDP. Twelve-month cumulative survival was 52% for all 28 patients and 69% for the 21 patients completing induction and IA-CDDP. Median survival has not yet been reached. Response rate (complete and partial) was 36% overall and 48% among the 21 patients who completed treatment. The improved survival of the present series of patients as well as the minimal hematologic toxicity suggests possible further integration of new modalities for therapy. ",0
"Quantification of leakage pressures after durotomy repairs in the canine. This study was undertaken to investigate the relative strengths of dural repair using standard suture techniques, suture supplemented with tissue adhesive, and tissue adhesive alone. Uniform 2 mm dural defects were created in adult beagles, repaired, and then subjected to pressurization testing. Defects repaired with suture alone initially leaked within the range of physiologic pressurization, while those supplemented with tissue adhesive or repaired with tissue adhesive alone failed at higher pressurization levels. Histologic sections obtained from the dura treated with fibrin adhesive sealant demonstrated minimal inflammatory response not significantly different than those sections examined at sites repaired by suture alone. A new substance, fibrin adhesive sealant, appears to be useful in effecting dural repair due to its ability to withstand pressures greater than those obtained with suture alone. ",0
"Risk of cancer death in first-degree relatives of patients with hereditary non-polyposis cancer syndrome (Lynch type II): a study of 130 kindreds in the United Kingdom. To estimate the relative risks of cancer in first-degree relatives of index patients, 130 pedigrees of dominantly inherited Lynch type II cancer family syndrome have been analysed. The risk of death from all causes was significantly increased in women over 45 years of age and the overall liability to cancer in women was greater than for men. A sevenfold increase in risk of colon cancer was found in both sexes. In female relatives the risk of breast cancer was increased fivefold and lifetime risk of breast cancer was 1 in 3.7. A screening programme based on estimated risks could be offered to first-degree relatives of index patients with Lynch type II cancer family syndrome. ",0
"Obesity and colorectal adenomatous polyps. Obesity has been investigated as a risk factor for various malignancies, including colon cancer. A case-control study was conducted on patients in three colonoscopy practices in New York City to determine possible risk factors for colorectal adenomatous polyps, a known precursor lesion for most cases of colorectal cancer. Among 301 case subjects with incidence adenomatous polyps (174 men and 127 women) and 506 control subjects (223 men and 283 women), an increased risk was observed with increasing body mass index in women (odds ratio 2.1, 95% confidence interval 1.1-4.0; for highest versus lowest quartile, linear trend P = .02). A nonsignificant trend was observed for men. The increased risk seen in women is consistent with prior observations regarding reproductive hormonal and dietary risk factors for colorectal cancer. ",0
"Relatively enhanced S cone function in the Goldmann-Favre syndrome. Using electrophysiologic and psychophysical tests that measure rod, midspectral, and S (blue) cone function, we studied four patients with the Goldmann-Favre syndrome, an autosomal recessive vitreoretinal degeneration. With spectral electroretinography, the predominant signal was from the S cones. With dark-adapted perimetry, all patients had severely reduced rod sensitivities and subnormal midspectral cone sensitivities. With S cone perimetry, the patients had normal or subnormal S cone function. Sensitivity differences between S and midspectral cones were significantly different from normal; there was relatively higher sensitivity to S cones compared to midspectral cones throughout the visual field. This relationship of dysfunctional cone mechanisms in the Goldmann-Favre syndrome is similar to that in the enhanced S cone syndrome, a recently identified retinal degeneration with S cone hypersensitivity. The results suggest that the Goldmann-Favre and the enhanced S cone syndromes are linked by a common pattern of retinal dysfunction. ",0
"Incidence of myocarditis. A 10-year autopsy study from Malmo, Sweden. Although myocarditis has been known for almost two centuries, data in regard to its incidence have varied widely. Autopsy studies have reported an incidence of 3.5% to as high as 10%. The main reason for such diversity of data appears to be the lack of unanimity as to what constitutes myocarditis. Recently, definitions of myocarditis have been proposed and precise criteria for the morphologic recognition of myocarditis have been published. In this study an analysis of 12,747 consecutive autopsies performed from 1975 to 1984 at Malmo (Sweden) General Hospital was carried out. Applying the newly proposed histologic criteria, the diagnosis of myocarditis was made in 136 cases, which constitute 1.06% of the autopsy population studied. This rate of myocarditis incidence at postmortem is lower by far than rates previously published. ",0
"New approaches to the diagnosis, prevention, and treatment of cytomegalovirus infection after transplantation. Infection occurring after solid organ transplantation continues to exert a considerable detrimental effect upon patient and allograft survival. While the search for better targeted immunosuppressive regimens continues, we must seek to improve our ability to both diagnose and treat those infections that do occur after transplantation. Viral infections in general, and cytomegalovirus (CMV) infections in particular, represent an area in which substantial progress is being made. Improvement in diagnostic modalities has allowed more rapid and precise identification of CMV infection and disease, and the use of antiviral agents that possess activity against CMV has allowed both prophylaxis and treatment of this frequently life-threatening disease. The prophylactic use of presently available agents in combination and the development of less toxic, more potent anti-CMV agents should serve to further lessen the impact of CMV disease upon the field of solid organ transplantation. ",0
"Pancreatic ascites presenting in infancy, with review of the literature. We report a 4-month-old boy with massive ascites in whom a diagnosis of pancreatitis was made on a raised ascitic amylase level after two inconclusive laparotomies. He developed a pseudocyst which was managed with repeated percutaneous needle aspirations, nutrition being maintained intravenously. Endoscopic retrograde cholangiopancreatography (ERCP) demonstrated a congenital intra-pancreatic cyst. He thrived after operation drainage for recurrent pseudocyst, but repeat ERCP shows that the cyst in the head of the pancreas remains. Pancreatic ascites is rare in children and diagnosis is frequently delayed. A third of reported cases in childhood present in the first year of life. A search for the underlying cause should include an ERCP to demonstrate abnormalities of the pancreaticobiliary ducts. ",0
"Epstein-Barr virus associated oesophageal ulcers in AIDS. Epstein-Barr virus (EBV) associated ulceration has not previously been included in the differential diagnosis of oesophageal ulcers in AIDS. We report five cases of oesophageal ulceration in homosexual men with advanced human immunodeficiency virus infection in whom this was considered to be the most likely cause. DNA in situ hybridisation studies showed EBV in biopsy material from three of four patients with oesophageal ulcers and in none of three controls. Of other viruses studied, only human papillomavirus was present, and this was found in both patients and control subjects. These findings support the hypothesis that EBV is an aetiological factor in some cases of AIDS-associated oesophageal ulceration. ",0
"Endoscopic ultrasonography in diagnosis of the extent of gallbladder carcinoma. Endoscopic ultrasonography (EUS) was performed preoperatively in 39 patients with gallbladder carcinoma. Diagnosis of the anatomical extent of gallbladder carcinoma was compared with histologic analysis, and staging accuracy was evaluated according to the TNM classification. Carcinoma considered to be at an early stage with no lymph node metastasis was correctly diagnosed in 87.5%. Differential diagnosis between early and advanced staged tumors was possible in 79.5%. Overall accuracy for depth of tumor invasion (T) was 76.9%. Limitations were due to many stones in the gallbladder and microinfiltration of carcinoma. Assessment of regional lymph node metastasis (N) was at a sensitivity of 81.8% and specificity of 92.9%, for an overall accuracy of 89.7%. We believe endoscopic ultrasonography is useful in the clinical staging of gallbladder carcinoma. ",0
